Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Agriculture,Industry,Service,Latitude,Longitude,Phones (per 1000)
Tunisia,NORTHERN AFRICA                    ,10175014,163610,62.2,6900,74.2,0.13,0.32,0.55,33.886917,9.537499,4.00
Turkey,NEAR EAST                          ,70413958,780580,90.2,6700,86.5,0.12,0.3,0.59,38.963745,35.243322,108.90
Turkmenistan,C.W. OF IND. STATES ,5042920,488100,10.3,5800,98,0.21,0.38,0.41,38.969719,59.556278,10.60
Turks & Caicos Is,LATIN AMER. & CARIB    ,21152,430,49.2,9600,98,,,,21.694025,-71.797928,97.70
Tuvalu,OCEANIA                            ,11810,26,454.2,1100,,0.17,0.27,0.56,-7.109535,177.64933,303.50
Uganda,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,1400,69.9,0.31,0.22,0.47,1.373333,32.290275,123.60
Ukraine,C.W. OF IND. STATES ,46710816,603700,77.4,5400,99.7,0.19,0.45,0.36,48.379433,31.16558,269.50
United Arab Emirates,NEAR EAST                          ,2602713,82880,31.4,23200,77.9,0.04,0.59,0.38,23.424076,53.847818,74.60
United Kingdom,WESTERN EUROPE                     ,60609153,244820,247.6,27700,99,0.01,0.24,0.76,55.378051,-3.435973,269.50
United States,NORTHERN AMERICA                   ,298444215,9631420,31,37800,97,0.01,0.2,0.79,37.09024,-95.712891,59.30
